Indicator,Economy,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
GDP,11_MEX,821671040,893927626,888367121,851116920,881982276,905173493,871739306,888612058,900215807,937987309,940509384,980220049,1015788889,1321231084,1386514177,1299285370,1387289329,1482274980,1558818551,1601741466,1680906796,1674109375,1673442335,1697646715,1764204496,1804918932,1886051444,1929269289,1951332115,1848189692,1942782224,2013946491,2087300921,2115564895,2175758719,2246916302,2312376350,2359469879,2423064928,2488662577,2556590943,2627008540,2700146947,2776111140,2854917200,2937112495,3023294578,3114081122,3210039340,3311660729,3419361890,3533473991,3654226262,3781732343,3916000285,4056930894,4204318922,4357867161,4517210602,4681952918,4851673587,5025961192,5204430223,5386696996,5572396061,5761177263,5952481071,6145357455,6339669440,6535297420,6732144268
GDP,12_NZ,65153924,68226826,68458560,70033554,73535243,74223543,76428512,75873104,77556853,78247073,83052842,81688662,82723247,88127414,92724484,96968685,100224850,103240011,104340666,109759848,112272733,116536454,122433889,127992718,132177606,136564457,140078141,145345665,143099309,145841185,147244406,151213818,154993282,158121062,163726440,170986553,176922277,182280646,186682811,191405456,196388262,201568161,206897456,212343571,217887368,223518971,229235922,235041013,240935991,246919467,252990272,259149179,265399963,271747490,278196682,284752565,291419540,298201206,305098762,312109627,319230300,326460074,333803580,341264267,348841409,356531648,364331912,372242296,380262050,388389002,396619420
GDP,13_PNG,7395396,7375056,7401073,7639610,7612497,7917000,8288537,8518157,8765963,8641509,10786809,11816615,13453108,15901881,16846788,16288747,17548469,16863309,16227711,16528825,16116457,16096910,16071332,16419132,16865925,17936034,18347570,20383743,20323759,21706903,23904659,24169358,25292851,26261550,30311462,31917663,32524099,33239629,34876684,36665141,38639171,40725454,43001855,45470345,48128000,50979655,53924221,57051063,60365946,63871411,67577870,71378002,75372457,79568047,83972633,88601819,93356140,98328701,103540639,108995767,114708172,120512161,126570927,132883665,139463662,146324400,153271845,160485366,167977746,175756311,183827870
GDP,14_PE,125218997,134182912,133351254,117593546,123686683,127129577,139822568,150989036,137836386,121694730,122184473,124896063,124220988,130734611,146825906,157707754,162121952,172622306,171946425,174516870,179219003,180326383,190160535,198080765,207902012,220968779,237605295,257845435,281377875,284461280,308163900,327662023,347779569,368133432,376880366,389134140,404510033,414733744,432931493,451589302,470556533,489665503,508982911,528560340,548354167,568364402,588592038,609064073,629829321,650891241,672290456,693843365,715724740,737936626,760462646,783318477,806433252,829886119,853642220,877682861,902032396,927409574,953146555,979251410,1005700078,1032497892,1059931689,1087807946,1115972908,1144533167,1173461229
GDP,15_RP,157688155,163175595,169168011,172415678,159842795,148196079,153273535,159879566,170661859,181235665,261760309,260246458,261125058,266651266,278350919,291374102,308407464,324399508,322528637,332468700,347134633,357180665,370203126,388603587,414630792,434440474,457218016,487470588,507714056,513544300,552739361,572968249,611264409,654444275,694661831,736803830,787464361,840102554,883439610,929829707,979489573,1032195558,1088467794,1148052439,1210949686,1277063575,1345597406,1417139493,1491768516,1569448557,1650104419,1733122607,1819035626,1907918139,1999717837,2094608497,2191042509,2290316706,2392428470,2497461520,2605235720,2714859752,2827222410,2942324096,3060223209,3180695029,3302176887,3426215905,3552719374,3681638591,3812881011
GDP,16_RUS,1879583249,1919053855,1974523588,2037704922,2066230752,2088957820,2176693970,2204991485,2238062365,2301884485,3224936158,3062175582,2617208589,2390334807,2089875555,2003280967,1931162853,1958199133,1854414579,1973097112,2170406823,2280923596,2389123082,2563430022,2747380458,2922558574,3160847399,3430628260,3610666037,3328279998,3478176597,3661994244,3795873150,3863642942,3892179838,3782099620,3773593262,3831919060,3970161309,4100894051,4227123346,4351665391,4476521508,4602990138,4731838474,4863433859,4997824368,5134736241,5273529221,5413199016,5552444156,5689705503,5823179932,5950780590,6070005041,6179099594,6276531456,6361060976,6431949607,6489104044,6533191263,6565698697,6588875855,6605650713,6619515313,6634323157,6654065263,6682588232,6723388366,6779441533,6853000162
GDP,17_SIN,43565294,46898900,49221693,54074169,59172628,60069938,62218589,69256066,76532623,83719016,110272033,117646008,125984288,140519583,155871988,166826743,179392023,194265627,189942770,201520171,219450517,217360712,226515264,236561959,259151676,278559953,303240911,330870789,336785502,334753377,385771054,410270113,427022663,448848164,466280921,476730547,488157880,505822080,527087518,548996855,570767354,592633177,614391089,636166049,658110871,680301410,702718125,725193852,747750054,770432582,793250941,815107528,837079274,859222549,881486976,903975793,927446501,951280436,975362265,999646305,1024097294,1048308222,1072518765,1096849594,1121332634,1146133994,1171355261,1197216295,1223451954,1249956195,1276627451
GDP,18_CT,161122167,171450361,178250178,192676295,210789245,219083036,242713233,268880953,283951552,312728952,371750375,399425851,429483927,455960019,488064703,516012759,541876151,571729306,593032529,628666964,662000043,650059607,685988330,712263136,759246130,799043410,842725935,896011412,886001896,881882613,971617961,997904591,1016230750,1040150331,1083811934,1103089000,1118806117,1144778022,1174226278,1204332586,1235324727,1265025797,1295170881,1322525180,1349552027,1376402957,1400846239,1425027439,1446775432,1467079314,1485206001,1502267630,1520444892,1535637137,1549083343,1560158588,1570966686,1582813217,1591959037,1599821357,1606341777,1611318640,1616037674,1619098482,1621472722,1622919032,1624577160,1625374831,1625967558,1626451438,1625961729
GDP,19_THA,126156764,133677480,140922646,148898835,157578837,165016085,174259678,190962300,216460950,242983592,396505938,430439948,465234079,503620744,543894815,588060498,621299877,604191822,558069428,583586027,609588730,630584452,669358332,717480711,762605143,794541787,834013962,879343393,894517940,888339206,955085378,963107708,1032863544,1060620512,1071061409,1103409327,1139630759,1184110263,1226986583,1271764010,1318616112,1368016320,1419641224,1473635212,1529900194,1588612084,1649893673,1713549542,1779582944,1847832012,1918306719,1991210797,2066292733,2143526174,2222858561,2304296700,2388871342,2475636146,2564705606,2655836453,2749159425,2844307969,2941518354,3041043141,3142837947,3246862848,3353241131,3462032920,3573490528,3687566327,3804488729
GDP,20_USA,6997861906,7173945105,7031989622,7352585554,7889088776,8220310084,8506837494,8784795509,9152991387,9483806486,9748318567,9741096571,10087431143,10364417549,10782895773,11076080098,11496514943,12012366615,12546906234,13134753835,13672251138,13805689826,14052277074,14446693008,14993607656,15495176228,15908374599,16191316215,16144098863,15696014624,16093425254,16351154165,16714808879,16995171638,17431810499,17930636927,18196956946,18610635383,19124824557,19629753518,20133209032,20639388992,21150427784,21667511159,22191525582,22723298420,23263858108,23814335904,24375097729,24942329790,25510844731,26080027713,26649525333,27218948086,27787665911,28355032678,28920562213,29484044064,30045410866,30604507656,31161256121,31715955028,32269294086,32821922065,33374286046,33926657203,34479353203,35032786923,35587155727,36142430310,36698375432
GDP,21_VN,40940308,43313748,46843380,50166230,55573162,57828271,59369592,61305758,64257184,68814062,104421340,110645733,120212216,129916624,141399930,154890162,169356931,183163050,193721403,202968862,216745001,230167788,244716281,261599413,281314619,302546130,323657662,346732850,366364071,386140028,410942722,436586792,459496104,484409445,513394833,547685956,581701700,621328648,652687294,685763561,720781018,757623258,796574601,837478655,880373555,925207392,972626941,1022181442,1073836905,1127696005,1183770150,1242320367,1303166447,1366292796,1431658590,1499128156,1568950797,1641056954,1715334213,1791710292,1870062523,1949720410,2031345505,2114859365,2199947176,2286707814,2374391455,2463571507,2554307334,2646882824,2741544993
POP,01_AUS,14710,14902,15110,15333,15568,15812,16066,16330,16596,16854,17042,17272,17486,17688,17883,18077,18272,18468,18665,18864,19066,19269,19475,19697,19949,20239,20573,20947,21343,21739,22120,22480,22822,23151,23474,23800,24125,24451,24772,25089,25398,25700,25996,26287,26573,26857,27139,27418,27693,27966,28234,28500,28760,29018,29273,29527,29777,30026,30273,30520,30764,31009,31253,31496,31739,31982,32225,32468,32710,32950,33187
POP,02_BD,189,195,201,207,213,219,225,232,238,245,258,266,274,281,290,297,304,312,319,326,333,340,347,353,360,365,371,374,379,384,389,394,399,405,411,417,423,429,434,439,445,450,455,459,464,469,473,478,482,486,490,494,497,500,504,507,509,513,515,518,520,522,524,526,528,530,532,533,535,535,537
POP,03_CDA,24516,24770,25016,25267,25539,25843,26183,26555,26943,27330,27692,28045,28385,28711,29027,29330,29622,29903,30178,30454,30736,31025,31321,31628,31950,32288,32646,33020,33405,33790,34168,34539,34901,35256,35605,35949,36290,36624,36954,37280,37604,37924,38242,38556,38868,39173,39473,39769,40059,40342,40618,40886,41147,41401,41647,41888,42123,42351,42574,42792,43005,43213,43417,43619,43816,44011,44204,44395,44583,44768,44949
POP,04_CHL,11179,11348,11527,11714,11908,12107,12311,12519,12733,12956,13242,13457,13671,13883,14091,14297,14498,14695,14887,15077,15263,15445,15623,15800,15974,16147,16319,16491,16661,16829,16993,17153,17310,17463,17614,17763,17910,18055,18197,18336,18472,18605,18734,18859,18980,19099,19214,19327,19435,19538,19638,19731,19820,19903,19983,20059,20131,20199,20263,20322,20378,20431,20479,20523,20562,20598,20630,20657,20682,20702,20718
POP,05_PRC,983171,996668,1010575,1025090,1040398,1056579,1073792,1091905,1110339,1128298,1172446,1189184,1204004,1217129,1228992,1239940,1249981,1259067,1267442,1275407,1283199,1290938,1298647,1306344,1314007,1321623,1329209,1336800,1344415,1352068,1359755,1367480,1375199,1382793,1390110,1397029,1403500,1409517,1415046,1420062,1424548,1428480,1431850,1434676,1436995,1438836,1440205,1441106,1441556,1441574,1441182,1440391,1439216,1437667,1435761,1433509,1430923,1428013,1424792,1421275,1417473,1413397,1409052,1404434,1399538,1394361,1388910,1383192,1377210,1370963,1364456
POP,06_HKC,5054,5152,5229,5291,5350,5415,5487,5564,5644,5722,5782,5854,5920,5984,6055,6140,6242,6357,6473,6579,6663,6722,6759,6782,6803,6828,6861,6898,6940,6983,7025,7065,7106,7149,7194,7246,7303,7365,7429,7491,7548,7598,7643,7685,7726,7768,7814,7859,7905,7948,7987,8023,8053,8080,8105,8127,8146,8162,8176,8188,8199,8209,8216,8223,8228,8233,8238,8243,8247,8250,8253
POP,07_INA,150820,154275,157758,161246,164707,168119,171472,174767,178007,181198,181437,184616,187766,190880,193945,196958,199914,202827,205715,208612,211540,214506,217508,220546,223615,226713,229838,232990,236159,239340,242524,245707,248883,252033,255131,258162,261115,263991,266795,269537,272223,274854,277425,279934,282376,284751,287056,289292,291460,293560,295595,297565,299468,301302,303066,304758,306378,307924,309399,310802,312134,313396,314588,315709,316757,317732,318635,319465,320226,320920,321550
POP,08_JPN,115915,116824,117711,118554,119321,119991,120553,121024,121435,121833,124516,124940,125341,125717,126063,126376,126654,126902,127128,127336,127534,127723,127902,128068,128213,128335,128433,128506,128551,128566,128552,128506,128426,128313,128162,127975,127749,127484,127185,126855,126495,126109,125697,125259,124796,124310,123801,123272,122724,122161,121580,120988,120382,119766,119138,118500,117852,117198,116539,115876,115213,114548,113886,113226,112571,111924,111282,110650,110024,109406,108794
POP,09_ROK,37460,38055,38674,39304,39921,40510,41067,41594,42090,42552,42923,43378,43853,44341,44826,45298,45757,46202,46627,47023,47387,47713,48004,48265,48498,48709,48895,49062,49219,49379,49552,49745,49953,50169,50386,50594,50791,50982,51164,51339,51507,51667,51817,51959,52093,52219,52338,52447,52546,52631,52702,52757,52798,52821,52823,52806,52767,52706,52626,52527,52410,52276,52125,51959,51779,51586,51381,51165,50938,50702,50457
POP,10_MAS,13833,14179,14542,14926,15332,15763,16220,16702,17200,17705,18038,18530,19013,19495,19987,20496,21023,21566,22114,22656,23186,23699,24199,24688,25174,25660,26144,26626,27111,27605,28112,28635,29171,29706,30228,30723,31187,31624,32043,32455,32869,33289,33711,34131,34545,34950,35344,35728,36102,36464,36815,37153,37478,37791,38091,38381,38659,38925,39181,39429,39668,39900,40124,40341,40554,40761,40964,41162,41356,41545,41729
POP,11_MEX,68776,70318,71789,73223,74673,76175,77741,79359,81010,82666,85358,87071,88828,90601,92349,94045,95687,97282,98822,100300,101720,103067,104356,105640,106996,108473,110092,111836,113662,115505,117319,119090,120829,122536,124222,125891,127541,129163,130760,132328,133870,135384,136869,138322,139745,141132,142484,143801,145083,146329,147540,148716,149856,150959,152028,153061,154058,155018,155944,156835,157690,158510,159295,160045,160758,161436,162078,162682,163251,163783,164279
POP,12_NZ,3147,3165,3189,3216,3244,3269,3291,3311,3333,3361,3399,3446,3504,3565,3623,3675,3717,3752,3784,3819,3859,3908,3964,4022,4081,4136,4186,4233,4278,4324,4370,4418,4467,4518,4567,4615,4661,4706,4749,4792,4834,4875,4916,4956,4994,5033,5070,5107,5144,5178,5213,5246,5279,5310,5340,5370,5398,5425,5451,5477,5502,5526,5549,5572,5593,5614,5635,5656,5675,5694,5711
POP,13_PNG,3215,3304,3396,3489,3584,3678,3771,3865,3960,4057,4313,4423,4535,4651,4771,4894,5022,5155,5291,5431,5572,5717,5862,6011,6162,6315,6470,6628,6787,6947,7108,7269,7431,7593,7756,7920,8085,8251,8418,8587,8756,8926,9097,9268,9442,9614,9788,9962,10137,10312,10487,10662,10837,11012,11187,11362,11536,11709,11881,12053,12224,12394,12564,12732,12899,13064,13228,13391,13553,13713,13871
POP,14_PE,17287,17720,18152,18585,19021,19460,19904,20350,20798,21244,21827,22283,22737,23184,23619,24039,24441,24828,25200,25561,25915,26262,26601,26938,27273,27610,27950,28293,28642,29001,29374,29760,30159,30566,30973,31377,31774,32165,32552,32933,33312,33686,34055,34419,34778,35130,35478,35821,36156,36485,36807,37120,37426,37725,38015,38299,38575,38844,39106,39359,39607,39845,40076,40299,40514,40720,40917,41106,41286,41458,41621
POP,15_RP,47064,48399,49767,51167,52596,54053,55537,57047,58572,60102,61948,63508,65075,66650,68236,69836,71446,73065,74694,76335,77991,79666,81352,83032,84679,86275,87809,89293,90752,92221,93727,95278,96866,98481,100102,101716,103320,104918,106512,108106,109703,111303,112902,114497,116086,117665,119232,120789,122332,123860,125372,126868,128346,129807,131247,132667,134067,135445,136801,138135,139448,140737,142004,143248,144468,145665,146837,147986,149111,150213,151293
POP,16_RUS,138655,139619,140598,141594,142610,143642,144696,145749,146741,147591,147564,148035,148318,148431,148412,148289,148074,147769,147381,146920,146396,145815,145195,144585,144045,143618,143323,143150,143083,143093,143154,143264,143421,143598,143761,143888,143965,143989,143965,143895,143787,143636,143442,143204,142925,142607,142254,141866,141448,141006,140544,140063,139569,139068,138569,138077,137595,137127,136676,136244,135837,135453,135094,134755,134434,134128,133833,133550,133274,133002,132730
POP,17_SIN,2415,2463,2520,2583,2647,2709,2767,2823,2880,2944,3013,3097,3189,3288,3385,3479,3566,3650,3732,3819,3914,4019,4131,4249,4370,4491,4612,4732,4851,4966,5074,5176,5271,5361,5448,5535,5623,5709,5792,5868,5935,5991,6040,6081,6119,6157,6196,6234,6273,6308,6342,6374,6403,6431,6456,6480,6501,6520,6536,6551,6563,6573,6581,6587,6590,6592,6592,6591,6587,6581,6575
POP,18_CT,17866,18194,18516,18791,19069,19314,19509,19725,19954,20157,20311,20518,20717,20903,21074,21229,21364,21484,21596,21711,21840,21985,22143,22307,22462,22603,22726,22833,22929,23017,23102,23185,23264,23340,23414,23486,23557,23626,23694,23758,23817,23873,23923,23968,24009,24045,24077,24103,24125,24141,24151,24155,24153,24144,24127,24100,24065,24020,23965,23902,23831,23750,23662,23567,23466,23360,23249,23134,23016,22895,22771
POP,19_THA,47483,48460,49423,50380,51346,52329,53340,54369,55371,56285,56583,57258,57838,58365,58901,59491,60152,60863,61598,62307,62958,63543,64073,64555,65002,65425,65824,66196,66546,66881,67209,67530,67844,68143,68417,68657,68864,69038,69184,69306,69411,69498,69568,69620,69660,69685,69699,69701,69690,69665,69626,69572,69504,69419,69318,69200,69063,68908,68737,68546,68339,68113,67872,67613,67337,67046,66739,66417,66081,65733,65372
POP,20_USA,229825,232035,234261,236511,238794,241120,243496,245921,248382,250858,252530,254975,257455,260020,262741,265659,268803,272137,275543,278862,281982,284852,287507,290027,292539,295130,297827,300595,303374,306076,308642,311052,313336,315536,317719,319929,322179,324459,326767,329093,331432,333784,336150,338524,340895,343256,345602,347930,350230,352494,354712,356880,358997,361061,363074,365034,366942,368797,370602,372358,374069,375735,377360,378950,380515,382059,383588,385103,386607,388103,389592
POP,21_VN,54023,55109,56317,57617,58959,60307,61648,62987,64333,65703,68210,69670,71130,72561,73925,75199,76373,77454,78453,79391,80285,81140,81956,82748,83528,84309,85095,85889,86707,87565,88472,89437,90452,91497,92545,93572,94569,95540,96491,97429,98360,99284,100195,101084,101943,102764,103543,104284,104986,105652,106284,106881,107445,107981,108494,108989,109466,109928,110375,110808,111229,111638,112037,112421,112791,113145,113481,113800,114099,114376,114630
ITM,01_AUS,6271000,6683000,5850000,4811000,6054000,5740000,5925000,5441000,6419000,6831000,5511000,5294000,5120000,5757000,6326000,6256000,6400000,6500000,6600000,6600000,6100000,6000000,6800000,7000000,7500000,7400000,7420000,8126000,8224000,5916000,7716000,6672000,7152000,6376000,7142000,6968000,6478000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITM,02_BD,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITM,03_CDA,13306000,14118000,9418000,10771000,13089000,13185000,12539000,13395000,15244000,13985000,11222000,10688000,11160000,12714000,15324000,15047000,15300000,17700000,18200000,18200000,19800000,16900000,17671000,17233000,19314000,18014000,20130000,18248000,16799000,10591000,15656000,15746000,17305000,16445000,17527000,14827000,16717000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITM,04_CHL,809000,724000,334000,462000,628000,570000,632000,818000,1026000,1008000,930000,1131000,1440000,1607000,1549000,1683000,2159000,2321000,2214000,1737000,1977000,2278000,2270000,2290000,2690000,2840000,2770000,2765000,3005000,1960000,2738000,3148000,3457000,3105000,3031000,3215000,3172000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITM,05_PRC,43111000,39422000,41152000,50389000,56067000,71528000,75716000,69723000,69177000,70318000,68634000,70863000,85856000,129420000,118515000,99944000,111934000,114721000,122939000,136181000,138086000,170648000,205720000,258570000,296580000,350170000,393400000,435860000,465480000,574420000,612063000,667941000,687609000,772340000,739980000,700351000,708637000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITM,06_HKC,1990000,2050000,2154000,1903000,2485000,2873000,2388000,1737000,2861000,1897000,2026000,2301000,2233000,4091000,4474000,3404000,4563000,5116000,4961000,5037000,5223000,5057000,4966000,4851000,5163000,4204000,2625000,2707000,1985000,1703000,1929000,1886000,1991000,2436000,2727000,3773000,3231000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITM,07_INA,2837000,3013000,2846000,2676000,1810000,2181000,2838000,2576000,2690000,3085000,4690000,4479000,4452000,5833000,5281000,7262000,7675000,7486000,3626000,3546000,5287000,5457000,5248000,5063000,6175000,7814000,7494000,8694000,10587000,8908000,10744000,13148000,15006000,15237000,15483000,13656000,15214000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITM,08_JPN,79007000,71136000,69504000,65614000,74367000,73377000,69941000,75751000,86871000,93278000,99032000,99151000,84040000,80589000,79333000,84340000,84400000,85500000,72500000,71000000,79600000,75200000,73600000,76400000,80500000,82900000,83300000,85900000,83200000,56000000,67400000,69600000,68800000,70800000,72900000,67800000,67500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITM,09_ROK,6100000,7480000,7630000,8620000,10120000,10910000,11600000,15048000,15825000,18267000,21478000,26068000,23238000,26710000,32188000,37306000,39400000,39900000,25800000,35200000,40000000,39700000,45400000,47500000,49100000,49000000,52210000,57404000,61011000,47303000,54573000,58741000,56322000,53919000,57834000,58125000,59520000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITM,10_MAS,1751000,1738000,2379000,2673000,2408000,2305000,2146000,1668000,1847000,2377000,2938000,4137000,4532000,5592000,5302000,8313000,8705000,8848000,4471000,6158000,6761000,8024000,7640000,6693000,7709000,7263000,7883000,8947000,9873000,7727000,9668000,9578000,10374000,11685000,11720000,11629000,11925000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
