Economy,variable,value
27_WOR,2039,
01_AUS,2040,30.764
02_BD,2040,0.52
03_CDA,2040,43.005
04_CHL,2040,20.378
05_PRC,2040,1417.473
06_HKC,2040,8.199
07_INA,2040,312.134
08_JPN,2040,115.213
09_ROK,2040,52.41
10_MAS,2040,39.668
11_MEX,2040,157.69
12_NZ,2040,5.502
13_PNG,2040,12.224
14_PE,2040,39.607
15_RP,2040,139.448
16_RUS,2040,135.837
17_SIN,2040,6.563
18_CT,2040,23.831
19_THA,2040,68.339
20_USA,2040,374.069
21_VN,2040,111.229
27_WOR,2040,
01_AUS,2041,31.009
02_BD,2041,0.522
03_CDA,2041,43.213
04_CHL,2041,20.431
05_PRC,2041,1413.397
06_HKC,2041,8.209
07_INA,2041,313.396
08_JPN,2041,114.548
09_ROK,2041,52.276
10_MAS,2041,39.9
11_MEX,2041,158.51
12_NZ,2041,5.526
13_PNG,2041,12.394
14_PE,2041,39.845
15_RP,2041,140.737
16_RUS,2041,135.453
17_SIN,2041,6.573
18_CT,2041,23.75
19_THA,2041,68.113
20_USA,2041,375.735
21_VN,2041,111.638
27_WOR,2041,
01_AUS,2042,31.253
02_BD,2042,0.524
03_CDA,2042,43.417
04_CHL,2042,20.479
05_PRC,2042,1409.052
06_HKC,2042,8.216
07_INA,2042,314.588
08_JPN,2042,113.886
09_ROK,2042,52.125
10_MAS,2042,40.124
11_MEX,2042,159.295
12_NZ,2042,5.549
13_PNG,2042,12.564
14_PE,2042,40.076
15_RP,2042,142.004
16_RUS,2042,135.094
17_SIN,2042,6.581
18_CT,2042,23.662
19_THA,2042,67.872
20_USA,2042,377.36
21_VN,2042,112.037
27_WOR,2042,
01_AUS,2043,31.496
02_BD,2043,0.526
03_CDA,2043,43.619
04_CHL,2043,20.523
05_PRC,2043,1404.434
06_HKC,2043,8.223
07_INA,2043,315.709
08_JPN,2043,113.226
09_ROK,2043,51.959
10_MAS,2043,40.341
11_MEX,2043,160.045
12_NZ,2043,5.572
13_PNG,2043,12.732
14_PE,2043,40.299
15_RP,2043,143.248
16_RUS,2043,134.755
17_SIN,2043,6.587
18_CT,2043,23.567
19_THA,2043,67.613
20_USA,2043,378.95
21_VN,2043,112.421
27_WOR,2043,
01_AUS,2044,31.739
02_BD,2044,0.528
03_CDA,2044,43.816
04_CHL,2044,20.562
05_PRC,2044,1399.538
06_HKC,2044,8.228
07_INA,2044,316.757
08_JPN,2044,112.571
09_ROK,2044,51.779
10_MAS,2044,40.554
11_MEX,2044,160.758
12_NZ,2044,5.593
13_PNG,2044,12.899
14_PE,2044,40.514
15_RP,2044,144.468
16_RUS,2044,134.434
17_SIN,2044,6.59
18_CT,2044,23.466
19_THA,2044,67.337
20_USA,2044,380.515
21_VN,2044,112.791
27_WOR,2044,
01_AUS,2045,31.982
02_BD,2045,0.53
03_CDA,2045,44.011
04_CHL,2045,20.598
05_PRC,2045,1394.361
06_HKC,2045,8.233
07_INA,2045,317.732
08_JPN,2045,111.924
09_ROK,2045,51.586
10_MAS,2045,40.761
11_MEX,2045,161.436
12_NZ,2045,5.614
13_PNG,2045,13.064
14_PE,2045,40.72
15_RP,2045,145.665
16_RUS,2045,134.128
17_SIN,2045,6.592
18_CT,2045,23.36
19_THA,2045,67.046
20_USA,2045,382.059
21_VN,2045,113.145
27_WOR,2045,
01_AUS,2046,32.225
02_BD,2046,0.532
03_CDA,2046,44.204
04_CHL,2046,20.63
05_PRC,2046,1388.91
06_HKC,2046,8.238
07_INA,2046,318.635
08_JPN,2046,111.282
09_ROK,2046,51.381
10_MAS,2046,40.964
11_MEX,2046,162.078
12_NZ,2046,5.635
13_PNG,2046,13.228
14_PE,2046,40.917
15_RP,2046,146.837
16_RUS,2046,133.833
17_SIN,2046,6.592
18_CT,2046,23.249
19_THA,2046,66.739
20_USA,2046,383.588
21_VN,2046,113.481
27_WOR,2046,
01_AUS,2047,32.468
02_BD,2047,0.533
03_CDA,2047,44.395
04_CHL,2047,20.657
05_PRC,2047,1383.192
06_HKC,2047,8.243
07_INA,2047,319.465
08_JPN,2047,110.65
09_ROK,2047,51.165
10_MAS,2047,41.162
11_MEX,2047,162.682
12_NZ,2047,5.656
13_PNG,2047,13.391
14_PE,2047,41.106
15_RP,2047,147.986
16_RUS,2047,133.55
17_SIN,2047,6.591
18_CT,2047,23.134
19_THA,2047,66.417
20_USA,2047,385.103
21_VN,2047,113.8
27_WOR,2047,
01_AUS,2048,32.71
02_BD,2048,0.535
03_CDA,2048,44.583
04_CHL,2048,20.682
05_PRC,2048,1377.21
06_HKC,2048,8.247
07_INA,2048,320.226
08_JPN,2048,110.024
09_ROK,2048,50.938
10_MAS,2048,41.356
11_MEX,2048,163.251
12_NZ,2048,5.675
13_PNG,2048,13.553
14_PE,2048,41.286
15_RP,2048,149.111
16_RUS,2048,133.274
17_SIN,2048,6.587
18_CT,2048,23.016
19_THA,2048,66.081
20_USA,2048,386.607
21_VN,2048,114.099
27_WOR,2048,
01_AUS,2049,32.95
02_BD,2049,0.535
03_CDA,2049,44.768
04_CHL,2049,20.702
05_PRC,2049,1370.963
06_HKC,2049,8.25
07_INA,2049,320.92
08_JPN,2049,109.406
09_ROK,2049,50.702
10_MAS,2049,41.545
11_MEX,2049,163.783
12_NZ,2049,5.694
13_PNG,2049,13.713
14_PE,2049,41.458
15_RP,2049,150.213
16_RUS,2049,133.002
17_SIN,2049,6.581
18_CT,2049,22.895
19_THA,2049,65.733
20_USA,2049,388.103
21_VN,2049,114.376
27_WOR,2049,
